ANO;ID_HOGAR;ISLA;COMARCA;peso_h;HC001A;HUH001A;HUH002A;HUH002B;HUH002C;HUH002D;HUH002E;HUH002F;HUH002G;HVC001A;HVC006A;HVC006B;HVC006C;HVC006D;HVC006E;HVC006F;HVC006G;HVC006H;HVC006I;HVT001A;HVT002A;HVT002C;HVT003B;HVT005A;HVT006A;HVT006B;HVE003AA;HVE003BA;HVE003DA;HVE003EA;HVE003GA;HVE003HA;HVE003W;HVE003X;HVE003S;HVE003JA;HVE003KA;HVE003NA;HVE003T;HVE003U;HVE003LA;HVE003MA;HVE003RA;HVE001LB;HVE001MB;HVE001RB;HVE002A;HES001A;HES001N;HES001O;HES001Q;HES001P;HEM001A;HEM001B;HEM001C;HEM001D;HEM001E;HEM002A;HEM002B;HEM002C;HEM002D;HEM002E;HEM003A;HEM003C;HEM003B;HEE001A;HEE001B;HEE001C;HEE001D;HEE001E;HEE001M;HEE001F;HEE001G;HEE001H;HEE001I;HEE001J;HEE001K;HEE001L;HSC001A;HSC002A;HSC003A;HSS001A;HSS002A;HSS003A;HSS006A;HSS006B;HSS006C;HSS006D;HSS004M;HSS004N;HSS004O;HSS004P;HSS004A;HSS004Q;HSS004R;HSS004B;HSS004S;HSS004T;HSS004C;HSS004E;HSS004F;HSS004G;HSS004H;HSS004I;HSS005A;HSS005B;HSS005C;HSS005E;HSI001AA;HSI001AB;HSI001BA;HSI001BB;HSI001CA;HSI001CB;HSI001DA;HSI001DB;HSI001EA;HSI001EB;HSI001FA;HSI001FB;HSI002A;HSI002C;HSI003A;HSI003C;DVC005A;DVC005B;DVC005C;DVC005D;DVC008A;DCH001L;DCH001M;DCH002A;DCH002B;DCH002J;DCH002H;DCH002X;DCH002G;DCH003A;DCH004A;DCH005A;DCH006A;DCH007A;DCH007B;DCH008A;DCH009A;DCH001K;RO16MAS;RPA16MAS;RPE16MAS;SEXO;REDAD;PD003B;DFC001B;DEA005A;FAMILIA_2V;THOGAR_2V;PIT001A;PBSI;PTCI;PGI;HIPP;HIP;HBSH;HIS;HG;HI;HID;PIE;HIDM;LP;DLP;LPI;FI;PIP;PERCIR;RPERCIR
2018;426;30;33;272.23471767;2;1;-1;-1;-1;-1;-1;-1;-1;3;6;6;6;6;6;6;6;6;6;1;1;300;-1;1;6;-1;1;6;6;1;1;1;1;1;1;6;6;6;6;6;1;1;1;2;2;3;6;1;1;1;1;1;4;4;4;4;4;-1;-1;-1;-1;-1;1;1;1;8;7;6;2;6;4;4;4;2;-1;6;8;0;1;1;1;3;3000;4;6;1;1;6;6;1;6;-1;1;1;6;6;6;-1;6;6;1;6;1;1;3;-1;-1;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;6;6;6;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;100;0;0;1;32;6;4;1;2;3;2200;0;0;3.33;0;2200;0;0;3.33;2200;2196.67;1464.44;1098.33;1;1;1;1;100;2;100
2018;427;30;33;323.50410686;2;1;-1;-1;-1;-1;-1;-1;-1;3;6;6;1;1;6;6;6;6;6;1;6;-1;-1;1;6;-1;1;6;6;6;6;6;1;6;6;6;1;6;6;6;6;6;6;-1;-1;-1;6;1;1;1;1;1;2;2;2;2;2;-1;-1;-1;-1;-1;4;1;3;6;7;6;8;7;4;6;7;6;7;7;4;3;2;6;-1;3;1000;3;6;6;1;6;-1;-1;6;-1;1;6;6;6;6;6;6;6;1;6;6;6;2;2;2;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;1;6;6;2;1;0;2;0;0;0;1;0;0;1;0;1;0;0;1;1;1;0;50;50;6;80;3;1;3;5;10;0;650;0;0;0;0;0;650;0;650;650;433.33;325;2;2;0;2;0;1;50
2018;428;30;33;192.14156238;1;1;-1;-1;-1;-1;-1;-1;-1;3;6;6;6;6;6;6;6;6;6;2;-1;-1;300;2;6;-1;1;6;6;6;1;1;1;6;1;6;6;1;6;1;1;6;6;1;-1;-1;6;1;1;1;1;1;4;4;4;4;4;-1;-1;-1;-1;-1;5;1;1;6;8;8;6;5;5;5;8;5;6;6;0;0;2;6;-1;4;900;4;6;1;1;1;6;-1;1;-1;6;6;6;6;6;-1;6;6;1;6;6;6;4;4;4;3;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;6;6;6;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;100;0;0;6;48;5;2;1;1;1;900;0;0;0;0;900;0;0;0;900;900;900;900;1;1;1;1;100;1;100
2018;429;30;33;123.62744723;4;1;-1;-1;-1;-1;-1;-1;-1;2;6;6;6;6;6;6;6;6;6;1;1;333.33;-1;1;6;-1;1;6;1;1;1;6;1;1;1;6;1;1;1;6;1;1;1;3;3;2;6;3;3;3;1;1;4;4;4;4;4;-1;-1;-1;-1;-1;1;1;1;7;7;7;5;5;8;5;7;7;7;-9;5;0;1;6;-1;3;1400;4;1;1;1;6;6;-1;6;6;6;6;6;6;6;-1;6;6;6;6;6;6;3;2;2;-9;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;6;6;6;0;0;1;2;2;2;1;0;0;1;0;0;0;0;1;1;1;0;50;0;0;1;38;2;3;1;3;6;1223.4;664;0;-21.6;0;1223.4;0;664;-21.6;1887.4;1909;909.05;477.25;1;1;1;1;64.82;2;50
2018;430;30;33;34.982110912;2;1;-1;-1;-1;-1;-1;-1;-1;2;6;6;6;6;6;1;6;1;6;1;6;-1;-1;2;6;-1;1;6;6;6;1;6;1;6;6;6;1;1;6;6;1;1;6;1;1;-1;6;2;3;1;3;1;4;4;4;4;4;-1;-1;-1;-1;-1;5;1;3;8;8;5;7;0;3;8;7;3;0;6;0;0;2;6;-1;3;2000;4;6;1;6;6;-1;-1;6;1;6;-1;6;6;6;-1;6;6;6;6;6;6;3;2;3;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;6;1;1;2;1;0;2;0;0;1;1;1;0;0;1;0;0;0;0;2;1;0;0;50;6;80;3;1;3;4;9;0;1850;0;-100;0;0;0;1850;-100;1850;1950;1300;975;1;1;1;2;0;2;100
2018;431;30;33;115.88929368;3;1;-1;-1;-1;-1;-1;-1;-1;2;6;6;6;6;6;6;6;6;6;1;6;-1;-1;2;6;-1;1;6;1;6;1;6;1;1;1;6;1;1;1;6;1;1;1;2;1;2;6;1;1;1;1;1;4;4;4;4;4;-1;-1;-1;-1;-1;1;1;1;5;5;0;7;7;10;10;6;6;2;7;7;0;1;6;-1;3;1000;3;6;1;1;6;-1;-1;6;-1;6;-1;6;6;6;-1;6;6;1;6;6;6;2;2;2;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;6;6;6;0;1;0;3;0;0;1;3;0;1;0;1;0;0;0;1;2;1;33.33;0;33.33;6;51;2;1;1;2;3;700;1100;0;0;0;700;0;1100;0;1800;1800;900;600;1;1;1;2;38.89;3;100
2018;432;30;33;34.982110912;2;1;-1;-1;-1;-1;-1;-1;-1;2;6;1;1;6;1;1;6;6;6;1;1;300;-1;1;6;-1;1;6;6;6;1;6;1;1;1;2;1;1;1;2;1;1;1;1;1;1;6;1;2;1;1;1;4;3;3;3;2;-1;-1;-1;-1;-1;1;1;1;7;8;2;6;2;6;5;5;6;6;8;2;1;6;6;-1;2;1000;3;6;1;1;6;6;-1;6;-1;1;6;6;6;6;6;6;6;1;6;6;6;3;2;2;-1;1;200;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;1;1;1;6;4;1;0;2;0;0;1;1;0;0;0;1;0;0;0;0;2;1;0;0;50;6;56;1;2;4;4;9;0;978;0;0;200;200;0;978;0;1178;1178;785.33;589;1;1;1;2;16.98;1;50
2018;433;30;33;107.04353249;2;1;-1;-1;-1;-1;-1;-1;-1;2;6;6;6;6;6;1;1;6;6;1;6;-1;-1;2;6;-1;1;1;6;6;6;6;1;1;6;6;1;1;1;6;1;6;1;2;-1;1;6;2;1;1;1;1;4;4;4;4;4;-1;-1;-1;-1;-1;1;1;1;8;7;5;8;8;8;8;8;8;4;8;8;8;1;1;2;4;1200;4;1;1;1;6;-1;6;6;-1;6;-1;6;6;6;-1;6;6;6;6;6;6;3;3;4;-9;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;6;1;6;2;0;0;2;0;0;0;0;0;1;1;0;0;0;0;2;0;0;50;50;0;1;61;2;2;1;2;3;1350;423.33;0;-31.25;0;1350;0;423.33;-31.25;1773.33;1804.58;1203.05;902.29;1;1;1;1;76.13;2;100
2018;434;30;33;76.673050644;3;1;-1;-1;-1;-1;-1;-1;-1;4;6;6;6;6;6;6;6;6;6;1;1;200;-1;2;6;-1;1;6;1;6;6;6;1;1;1;6;1;1;1;6;1;1;1;3;2;1;6;1;1;1;1;1;4;4;4;4;4;-1;-1;-1;-1;-1;1;1;1;5;5;5;5;8;8;8;8;5;5;8;8;-1;1;6;-1;4;1000;4;1;1;1;1;6;-1;6;-1;6;6;6;6;6;6;6;6;6;6;6;6;4;4;4;-9;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;6;6;6;0;0;0;3;0;0;0;0;0;1;0;0;0;1;0;1;2;0;33.33;0;0;1;45;2;3;1;3;5;1750;580;0;5.21;0;1750;0;580;5.21;2330;2324.79;1162.4;774.93;1;1;1;1;75.11;2;66.67
2018;435;30;33;136.43923863;4;1;-1;-1;-1;-1;-1;-1;-1;3;6;6;6;6;6;6;6;6;6;1;1;350;-1;2;6;-1;1;1;1;1;1;6;1;1;1;1;1;1;1;1;1;1;1;4;4;2;6;2;3;1;1;1;4;4;4;4;1;-1;-1;-1;-1;3;3;1;1;7;7;5;6;7;5;5;7;7;7;6;6;6;1;1;1;3;4000;4;1;1;1;1;6;6;6;6;-9;6;6;6;6;-1;6;6;6;6;6;6;3;3;3;4;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;6;6;6;0;0;0;3;1;2;0;0;0;2;0;0;0;0;2;2;0;0;100;0;0;1;45;2;2;1;3;6;2650;0;0;-33.33;0;2650;0;0;-33.33;2650;2683.33;1166.67;670.83;1;1;1;1;100;2;50
